GROUP,LP-Full10rmPre,LP-Full10rmPost,LP-Part10rmPre,LP-Part10rmPost
1,60,60,60,65
1,70,75,75,75
1,70,70,75,80
1,70,80,75,90
1,75,70,85,85
1,30,30,35,35
1,75,80,75,90
1,80,80,75,105
1,35,45,35,45
1,80,80,75,90
1,70,80,80,75
1,70,70,75,85
1,65,75,70,75
1,55,60,45,65
1,80,85,80,85
1,80,80,80,90
1,40,40,45,55
1,40,45,40,50
1,65,65,70,70
1,55,55,50,55
1,40,50,40,45
1,75,75,85,95
1,40,40,40,45
1,95,95,120,120
1,70,80,85,95
2,65,65,65,70
2,70,70,65,75
2,60,55,75,80
2,75,80,80,90
2,75,75,90,90
2,35,35,30,35
2,75,75,75,80
2,70,75,75,90
2,40,40,35,40
2,80,80,75,90
2,70,70,75,75
2,75,75,75,85
2,70,75,70,75
2,50,55,50,60
2,80,85,75,85
2,75,80,75,85
2,35,40,40,40
2,40,45,40,50
2,65,65,70,75
2,60,60,50,60
2,45,50,35,35
2,75,85,80,100
2,40,40,45,45
2,95,95,100,110
2,70,70,90,100
